metric,value
total_days,1255.0
trading_days,836.0
years,3.436002737850787
start_value,999012.5721539202
end_value,6572842.91744676
total_return,557.9339540517882
annual_return,73.02959306986214
annual_volatility,27.120814703146312
downside_volatility,17.496251370420982
max_drawdown,-18.69608103151845
sharpe_ratio,2.5821345647753695
calmar_ratio,3.906144445284898
sortino_ratio,4.00254840806949
win_rate,60.23778071334214
profit_loss_ratio,1.6806737615196943
total_trades,4552.0
total_commission,932644.5705770226
avg_positions,1.0
turnover_rate,3219.230315637163
benchmark_total_return,0.5751116793041744
benchmark_annual_return,0.17321929451259432
benchmark_volatility,20.4187777977811
benchmark_max_drawdown,-32.16232073950344
benchmark_sharpe,-0.13844025012087602
excess_return,557.358842372484
annual_excess_return,72.85637377534955
tracking_error,29.50155562509969
information_ratio,18.89252381994011
beta,0.33833697495738746
alpha,70.98599750262467
